Year,Venue,Authors,Title,Tags,P,E,N

# ## Distributed algorithms
# Focusing on the distributed algorithms, such as consensus and replication, like RAFT.
# Challenge: concurrency, synchronous and communication complexities across independent nodes
# Solution: problems that require coordination, computation, and data management across multiple independent computer systems.

# ### Computing Framework
# Solution: Developing distributed algorithms requires a clear understanding of the computing framework, which scales small computing units to achieve a more clear data processing. The common computing frameworks are MapReduce, Spark, etc.
2004,OSDI,Google,MapReduce: simplified data processing on large clusters,divife the data processing into map and reduce stages; use master-worker architecture,4,5,5

# #### Domain Specific Computing Framework
# Challenge: specific bounds of different situations
2024,PPoPP,NUDT,GraphCube: Interconnection Hierarchy-aware Graph Processing,interconnection hierarchy-aware; topology-aware graph partitioning; extreme-scale graph processing,4,5,5

# ### Parallel Strategies
# Soultion: using the computation and memory resources of multiple processors to solve a problem.
# Challenge: communication overhead and load balancing

# #### Data Parallelism <a name="Data-Parallelism"></a>
# Solution: Data parallelism addresses scenarios where a single GPU can accommodate the model, but the dataset's size necessitates distribution across multiple GPUs for efficient processing and accelerated training.
# Modern DNN acceleration systems commonly use the combination of [data parallelism](#Data-Parallelism) and [model parallelism](#Model-Parallelism).
2012,Nips,Google,Large Scale Distributed Deep Networks,data parallel; use many model to optimize the same data; distributed model training,3,4,3
2014,OSDI,CMU,Scaling Distributed Machine Learning with the Parameter Server,the foundation of tensor parallel; parameter server; pull-based data transfer,4,5,3
2020,SC,Miscrosoft,ZeRO: Memory Optimizations Toward Training Trillion Parameter Models,fix the problem that dp cannot reduce the memory usage on single GPU,3,4,3

# #### Model Parallelism <a name="Model-Parallelism"></a>
# Solution: Model parallelism addresses scenarios where the model's size exceeds the processing and memory capacity of a single GPU. There are two types of model parallelism:
# 1. Pipeline parallelism: divide the model as pipeline stages, each gpu processes one or more stages.
# 2. Tensor parallelism: divide the tensor into different GPUs.
# Usually, pipeline parallelism and tensor parallelism are used together.
2019,arXiv,NVIDIA,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,transformer based model parallel; pipeline parallel; divide model into different GPUs,3,4,3
2021,SC,NVIDIA,Efficient Large-Scale Language Model Training on GPU Clusters Using Megatron-LM,Megatron2; dive deep into tensor parallelism; how to train a LLM on 1000 GPUs,4,4,3
2022,arXiv,NVIDIA,Reducing Activation Recomputation in Large Transformer Models,Megatron3; sequence parallel; selective activation recomputation; reduce the amount of recomputed activation,3,4,3

# #### LLM-specific Parallel Strategies
# Focusing on the parallel strategies for LLM-specific deep learning systems.
2022,ACL,NUS,Sequence Parallelism: Long Sequence Training from System Perspective,splits input sequences into chunks; Ring Self-Attention; sparse attention,3,4,3


# ## Cloud computing platforms and architectures
# Challenge: when providing services to users, facing scalability, resource management, fault tolerance, and cost-effectiveness for building and deploying large-scale distributed applications and services.

# ### Cloud Platform LLM Scheduling
# Challenge: meet the SLO when providing LLM service on cloud platform.
2025,arXiv,Azure,TAPAS: Thermal- and Power-Aware Scheduling for LLM Inference in Cloud Platforms,thermal/power property characterization; dynamically adjust in response to power or cooling failures; thermal- and poweraware manner,,,


# ## Microservices
# Focusing on the microservices.


# ## Memory Management
# Challenge: coordinating memory access and maintaining data consistency across multiple independent nodes with their own local memories, especially when dealing with shared data.

# ### Remote Memory
# Challenge: efficiently providing access to memory on a remote node while minimizing latency and overhead, and ensuring consistency and reliability despite network communication complexities and potential failures.
